Lnumber,firstName,lastName,email,DOB,gradYear,phone#,EmergencyPhone#
4854136294,Annaliese,Ingamells,aingamells0@fotki.com,6/15/2002,2026,(795) 4680075,(757) 6652695
4815339732,Jeff,Frankis,jfrankis1@taobao.com,11/20/2002,2024,(133) 6362922,(164) 8176162
8139549924,Ken,Wibrow,kwibrow2@myspace.com,7/16/2004,2024,(782) 7677992,(956) 5451136
8129674084,Glad,Gabotti,ggabotti3@ebay.com,1/11/2004,2025,(740) 3195596,(835) 8165707
7068044816,Shell,Quarterman,squarterman4@hostgator.com,4/4/2004,2024,(769) 7667520,(251) 7697693
7085340169,Gloriane,Agget,gagget5@ucoz.com,12/5/2003,2025,(145) 5000385,(144) 5466742
3113624673,Brendis,Skace,bskace6@cpanel.net,5/27/2002,2023,(891) 9894616,(154) 8181229
161769756,Tallie,Mixter,tmixter7@sciencedaily.com,8/4/2003,2024,(560) 8876148,(955) 1174641
3082390927,Fedora,Madle,fmadle8@cbc.ca,5/5/2001,2023,(170) 1479764,(627) 4430745
9146970851,Adelina,Coatman,acoatman9@uol.com.br,11/18/2005,2023,(926) 3873871,(103) 9181562
5854606496,Trenna,Soppitt,tsoppitta@discuz.net,12/28/2000,2023,(981) 8793561,(812) 3729449
6809741496,Gar,Eginton,gegintonb@netlog.com,12/18/2001,2024,(601) 1016119,(352) 9134329
5680261790,Inger,Farrens,ifarrensc@booking.com,3/7/2004,2025,(818) 5869601,(312) 5513678
2344472444,Roanne,Fleay,rfleayd@php.net,4/28/2004,2025,(516) 1535400,(258) 8941633
8850811446,Norby,Quincee,nquinceee@dyndns.org,5/10/2002,2024,(556) 3418396,(644) 9791642
2148137867,Valentijn,Gantzer,vgantzerf@dedecms.com,1/15/2001,2024,(133) 9153608,(106) 7702405
845075128,Mason,Spurnier,mspurnierg@berkeley.edu,5/14/2005,2025,(425) 2175280,(691) 3375607
5327199878,Leon,Munnery,lmunneryh@posterous.com,2/26/2002,2023,(916) 2996921,(677) 8260652
867783338,Dalt,Rearden,dreardeni@freewebs.com,4/25/2002,2023,(110) 7739648,(133) 5681309
4484340372,Raffaello,Krochmann,rkrochmannj@wordpress.org,5/24/2003,2024,(563) 4550496,(986) 9524783
4591674878,Tova,Tooke,ttookek@theatlantic.com,5/25/2005,2023,(202) 6980911,(856) 3238792
9096204727,Bee,Gresly,bgreslyl@nymag.com,8/30/2002,2025,(708) 2305530,(154) 5653222
2061135005,Arlinda,Lucius,aluciusm@google.com,9/28/2001,2025,(268) 7963650,(657) 8576247
2152700430,Shanon,Drezzer,sdrezzern@weebly.com,3/18/2003,2023,(902) 6651118,(835) 3156162
3496043792,Belita,Bediss,bbedisso@theatlantic.com,3/10/2005,2023,(211) 6351411,(232) 9077349
3711251358,Corabel,Dahill,cdahillp@goodreads.com,12/18/2000,2025,(602) 5395580,(598) 7643137
4587456799,Mikol,Marner,mmarnerq@arstechnica.com,12/9/2004,2024,(660) 3014718,(630) 8129532
